Promt P,Promt N,Workflow,Count
"Portrait photo of a professional woman aged 25–35 working at a modern minimalist workspace in soft natural light from the left side, captured with a Canon EOS R5 camera and an 85mm f/2 lens. Set the aperture to f/2.8 for medium depth of field, keeping the laptop and pastel sticky notes on the wall clearly readable while maintaining subtle background separation. The composition follows the rule of thirds, placing the subject slightly to the left with clean copy space on the right. Adjust the shutter speed to 1/160 for sharpness as she types with both hands on the keyboard, leaning slightly forward in a focused posture. Set the white balance to neutral for clean editorial tones. Gentle rim lighting and minimal shadows enhance the mood of productivity and planning, while a closed notebook, pencil, and unbranded white mug add subtle context without distraction.",,Flux_16:9,2
"Portrait photo of a professional man aged 25–35 working in a bright premium home office with soft natural window light from the left side, captured with a Sony A7 IV camera and a 50mm f/1.8 lens. Set the aperture to f/2.8 for medium shallow depth of field, keeping the subject sharp while creating a gentle bokeh on the modern home office background. The composition should follow the rule of thirds with subtle negative space on either side for editorial copy space. Adjust the shutter speed to 1/200 to ensure full sharpness as he leans slightly toward the laptop, hands actively engaged on the keyboard. Set the white balance to warm-neutral to maintain natural skin tones and clean interior colors. Soft shadows and delicate reflections from the window and a small fill light can enhance depth, while elements like a wooden desk, a small green plant, a minimal mug, and a tidy notebook support the productive and balanced lifestyle theme without distraction.
",,Flux_16:9,2
"Group portrait photo of a strategic business meeting in a modern corporate workspace, featuring four young professionals aged 27–35 collaborating around a whiteboard filled with generic diagrams, arrows, and pastel sticky notes, captured with a Nikon Z7 II camera and a 24-70mm f/2.8 lens. Set the aperture to f/4 for medium depth of field so the presenter, team members, and whiteboard remain clearly visible. The composition uses a medium wide shot with an eye-level to slightly high-angle perspective: the presenter stands on the right pointing at the whiteboard, while the three colleagues on the left engage attentively, creating natural layering and depth. Adjust the shutter speed to 1/200 to ensure sharpness in gestures and interaction. Set the white balance to neutral corporate tones with clean whites and soft window lighting mixing subtly into the environment. Balanced shadows and mild reflections from devices (unbranded laptop, tablet) can enhance realism, while a minimal desk setup and a small office plant add visual context without distracting from the collaborative, innovative business narrative.
",,Flux_16:9,2
"Portrait photo of a professional man aged 28–35 working remotely in deep focus at a modern home office, wearing matte black over-ear headphones, captured with a Canon EOS R6 camera and an 85mm f/1.8 lens. Set the aperture to f/2.0 for a shallow depth of field, creating a smooth bokeh that isolates the subject and subtly blurs the home office background. The composition should be slightly off-center with the subject positioned on the left and clean copy space on the right, while a portion of the laptop in the foreground provides context. Adjust the shutter speed to 1/160 for sharpness as he types, leaning slightly forward with a concentrated expression. Set the white balance to cool-neutral to maintain a modern professional tone. Soft side window lighting and gentle facial highlights can enhance immersion, while minimal shadows and subtle accents such as a white mug, a closed notebook with a pen, and a faintly visible plant or lamp keep the scene clean and editorial-ready.
",,Flux_16:9,2
"Action photo of an athletic man aged 25–32 jogging on a clean city park path during a cold winter morning, captured with a Sony A7R IV camera and a 70-200mm f/2.8 lens. Set the aperture to f/3.5 for moderate background separation while keeping trees and distant urban buildings recognizable as an urban park setting. The composition should follow the rule of thirds, with the runner slightly off-center and open space ahead to show direction of motion and provide strong commercial copy space. Adjust the shutter speed to 1/800 to freeze movement sharply, capturing the natural stride swing and visible cold breath vapor in the crisp morning air. Set the white balance to cool tones to enhance the blueish early light and the season’s cold atmosphere. Soft natural lighting, subtle facial perspiration, and hints of fog or mist contribute to a fresh, energetic, and healthy lifestyle mood suitable for activewear and sports marketing.",,Flux_16:9,2
"Portrait photo of a fit Asian woman aged 25–32 practicing the Warrior II yoga pose in a minimalist modern living room during bright morning natural light, captured with a Canon EOS R5 camera and a 35mm f/1.4 lens. Set the aperture to f/3.2 for balanced depth of field, ensuring her full posture, yoga mat, and calm interior context remain sharp. The composition follows the rule of thirds with the subject slightly to the right, allowing clean negative space and soft morning brightness on the left from a large window with sheer curtains. Adjust the shutter speed to 1/200 for crisp detail in posture stability. Set the white balance to neutral for airy whites, soft beige tones, and subtle pastel accents. Gentle highlights on skin and soft shadows enhance the serene, mindful lifestyle atmosphere, while minimal furniture and a single green plant maintain a calm, balanced visual focus.",,Flux_16:9,2
"Flatlay product photo of modern fitness essentials arranged neatly on a light wooden floor background, captured with a Nikon Z6 II camera and a 50mm f/2.8 lens. Set the aperture to f/4 to keep all items in clear focus: a pair of clean white running shoes with subtle light-gray accents aligned symmetrically near the bottom center, a soft blue reusable sport bottle positioned at the upper right, and white wireless earphones placed near the shoes as a lifestyle accessory. The camera should be positioned directly overhead at a perfect 90-degree angle for a clean, balanced flatlay composition with intentional negative space at the top for marketing copy. Adjust the shutter speed to 1/125 for overall sharpness. Set the white balance to neutral-warm to enhance the natural wood texture. Soft window light with gentle highlights and minimal shadows creates a premium, airy mood that reflects a modern active lifestyle.",,Flux_16:9,2
"Top-down food photo of a vibrant smoothie bowl breakfast in soft natural morning light, captured with a Canon EOS R6 camera and a 50mm f/2.8 macro lens. Set the aperture to f/5.6 for a balanced depth of field, ensuring the smoothie bowl and toppings appear sharp while the background remains slightly softened. The composition should be centered with a clean flatlay layout, following the rule of thirds for placement of supporting elements. Adjust the shutter speed to 1/200 to maintain crisp detail. Set the white balance to neutral for fresh, realistic color tones. Soft side lighting from the left creates gentle shadows for depth and texture.

Smoothie bowl as the main subject, filled with a creamy light-purple berry base and topped in neat circular patterns: fresh red strawberry slices, green kiwi pieces, whole blueberries, and evenly spaced banana slices, with fine chia seed sprinkles. Presented in a modern matte white ceramic bowl.

Background is pristine white marble with subtle light-gray veining, uncluttered and clean. A small metal spoon positioned on the right side of the bowl and a neatly folded white linen cloth on the left edge of the frame add balance. A few fruit pieces scattered naturally outside the bowl enhance the organic, healthy mood. Suitable for themes of nutritious breakfast, vegan lifestyle, superfood aesthetics, and clean eating branding.",,Flux_16:9,2
"Portrait photo of a fit man and woman power walking together on a clean urban sidewalk during soft morning light, captured with a Sony A7R IV camera and a 35mm f/1.8 lens. Set the aperture to f/2.8 for a shallow depth of field that keeps both subjects sharp while gently blurring the modern glass buildings in the background. The composition should follow the rule of thirds, with the couple positioned slightly off-center and space left on one side for commercial copy. Adjust the shutter speed to 1/500 to freeze their dynamic motion. Set the white balance to neutral with a slight warm tone to enhance the fresh morning atmosphere. Subtle natural shadows and highlights from the sunrise can add depth, while rim lighting defines the subjects’ athletic silhouettes and emphasizes their active lifestyle.",,Flux_16:9,2
"Photo of a fit  man doing a perfect-form push-up in a small modern apartment during warm indoor lighting, captured with a Canon EOS R5 camera and a 35mm f/1.4 lens. Set the aperture to f/2.0 for a shallow depth of field, keeping the subject’s muscles in sharp focus while softly blurring the minimalist background. The composition should use a low-angle side view aligned with chest height, full body visible in a narrow frame to emphasize limited living space, with a small copy-space area on the right. Adjust the shutter speed to 1/250 to keep motion crisp and steady. Set the white balance to warm tones for a cozy indoor feel. Use soft shadows to add depth, and subtle highlights to enhance muscle definition on arms, shoulders, and core.",,Flux_16:9,2
