Promt P,Promt N,Workflow,Count
"A sleek, modern MacBook Pro open on a minimalist white marble desk, displaying a clean code editor with glowing syntax highlighting in blue and green, a cup of steaming coffee beside it with subtle condensation, soft natural daylight streaming from a large window with blurred city skyline in background, shallow depth of field (Canon EOS R5, 50mm f/1.2, f/2.8), photorealistic, ultra-detailed, 8K, professional product photography style, warm ambient tones, dust particles floating in light, ""Code. Create. Repeat."" in clean sans-serif font, white lettering, centered on screen, slightly glowing","worst quality, normal quality, low quality, low res, blurry, pixelated, jpeg artifacts, compression artifacts, noisy, grainy, bad anatomy, bad proportions, deformed, disfigured, extra limbs, missing limbs, mutated hands, poorly drawn hands, bad hands, extra fingers, missing fingers, illustration, drawing, painting, sketch, cartoon, anime, 2D, flat, vector art, artwork, watermark, signature, logo, (text:1.2)",Qwen_lp_vector,2
"A young woman in her late 20s with warm olive skin and neatly braided dark hair stands confidently in the center of a sunlit, minimalist Scandinavian-style kitchen, gently lifting a steaming ceramic bowl of freshly made oatmeal topped with sliced bananas, wild blueberries, and a drizzle of honey that glistens like liquid gold; she wears a soft linen apron in muted sage green, slightly tucked at the waist, revealing tailored beige trousers and bare feet; background features clean white oak cabinetry, open shelving with ceramic cookware, a single potted fiddle-leaf fig, and a large window flooding the scene with soft morning light that casts delicate shadows and wispy steam curls; wooden spoon rests casually on the counter beside a handwritten recipe card in elegant cursive: ""Morning Ritual""; photorealistic professional commercial lifestyle photography, hyper-detailed, high-resolution, natural lighting, shallow depth of field focused sharply on the bowl and her hands, creamy bokeh blur on background, warm neutrals, earthy tones, soft pastels, rich blue pop from berries, serene and intentional mood, no clutter, no clichés, wellness and slow-living aesthetic, ultra-sharp focus on texture of oatmeal, honey drizzle, skin, fabric, and wood grain","worst quality, normal quality, low quality, low res, blurry, pixelated, jpeg artifacts, compression artifacts, noisy, grainy, bad anatomy, bad proportions, deformed, disfigured, extra limbs, missing limbs, mutated hands, poorly drawn hands, bad hands, extra fingers, missing fingers, illustration, drawing, painting, sketch, cartoon, anime, 2D, flat, vector art, artwork, watermark, signature, logo, (text:1.2)",Qwen_lp_vector,2
"A young woman in her late 20s with warm olive skin and neatly styled black hair in a low bun stands confidently in the center of a sunlit, minimalist Scandinavian-style kitchen, gently holding a steaming ceramic mug of golden turmeric latte with delicate steam spirals rising, wearing a soft beige linen shirt tucked into high-waisted white linen pants, barefoot on pale oak wood flooring, large floor-to-ceiling windows behind her flood the space with soft early morning golden hour light casting long gentle shadows and highlighting floating dust particles, a small potted fiddle-leaf fig on the windowsill beside a stack of three art books with neutral covers, a single wooden spoon resting on a marble countertop beside a bowl of ground turmeric and a glass of almond milk, softly blurred background emphasizing depth, her serene expression calm and quietly joyful, muted earth tone palette of warm beige, creamy white, soft taupe, and golden amber, hyper-realistic photorealistic style, cinematic lighting, shallow depth of field, subtle film grain, high resolution, premium microstock aesthetic, no logos, no text, no clutter","worst quality, normal quality, low quality, low res, blurry, pixelated, jpeg artifacts, compression artifacts, noisy, grainy, bad anatomy, bad proportions, deformed, disfigured, extra limbs, missing limbs, mutated hands, poorly drawn hands, bad hands, extra fingers, missing fingers, illustration, drawing, painting, sketch, cartoon, anime, 2D, flat, vector art, artwork, watermark, signature, logo, (text:1.2)",Qwen_lp_vector,2
"A young woman in her late 20s with warm olive skin and sleek, shoulder-length black hair stands confidently in the center of a minimalist, sunlit modern kitchen, holding a steaming ceramic mug of matcha latte with delicate foam and a single edible gold leaf resting on top, wearing a tailored off-white linen blouse with rolled-up sleeves and soft gray wide-leg trousers, effortless sophistication, floor-to-ceiling windows flooding the space with golden morning light casting soft long shadows and highlighting dancing dust motes, matte white cabinetry, waterfall marble countertop with soft gray veining, hanging copper pendant light above a breakfast bar with two stools, one occupied by an open leather-bound journal and a sleek black pen, small potted fiddle-leaf fig on the windowsill with leaves catching light like stained glass, bamboo cutting board with half a sliced avocado, tiny bowl of sea salt flakes, and ceramic salt grinder on counter, calm and intentional mood, quiet luxury, mindful ritual, commercial editorial photography style, clean high-key lighting with subtle contrast, shallow depth of field sharply focused on her hands and mug, background softly blurred but rich in texture, warm neutrals, soft earth tones, metallic gold accents, no phones, no distractions, authentic and aspirational, photorealistic, Canon EOS R5, 50mm f/1.2, f/2.8, 8K resolution, studio-grade detail","worst quality, normal quality, low quality, low res, blurry, pixelated, jpeg artifacts, compression artifacts, noisy, grainy, bad anatomy, bad proportions, deformed, disfigured, extra limbs, missing limbs, mutated hands, poorly drawn hands, bad hands, extra fingers, missing fingers, illustration, drawing, painting, sketch, cartoon, anime, 2D, flat, vector art, artwork, watermark, signature, logo, (text:1.2)",Qwen_lp_vector,2
"A closed modern laptop (matte silver finish) at a slight angle with a smartphone (screen facing down) partially overlapping it, macro photography style, sharp focus on laptop corner and ceramic mug of steaming herbal tea with lemon slice and subtle heat wisps, open hardcover book with slightly curved pages and blurred text beside it, shot from 45-degree overhead angle, Canon EOS R5, 50mm f/1.2 lens, f/2.8 aperture, shallow depth of field, ISO 100, clean minimalist workspace with natural morning light filtering through a window, soft shadows, cinematic lighting, warm golden hour atmosphere, out-of-focus greenery in background, neutral color palette with beige, soft wood, white ceramic, accents of green and amber, peaceful and rejuvenating mood, photorealistic","worst quality, normal quality, low quality, low res, blurry, pixelated, jpeg artifacts, compression artifacts, noisy, grainy, bad anatomy, bad proportions, deformed, disfigured, extra limbs, missing limbs, mutated hands, poorly drawn hands, bad hands, extra fingers, missing fingers, illustration, drawing, painting, sketch, cartoon, anime, 2D, flat, vector art, artwork, watermark, signature, logo, (text:1.2)",Qwen_lp_vector,2
"A clean modern workspace with a yellow sticky note prominently featuring handwritten text ""Take a break"", placed on a light oak wooden desk, overhead shot with shallow depth of field, professional photography style, Canon EOS R5, 50mm f/1.8, soft natural morning light filtering through a window creating gentle shadows and highlights, warm muted color palette with light wood tones and pastel accents, minimalist laptop in background, ceramic coffee mug with steam rising, small succulent plant, serene and inviting atmosphere","worst quality, normal quality, low quality, low res, blurry, pixelated, jpeg artifacts, compression artifacts, noisy, grainy, bad anatomy, bad proportions, deformed, disfigured, extra limbs, missing limbs, mutated hands, poorly drawn hands, bad hands, extra fingers, missing fingers, illustration, drawing, painting, sketch, cartoon, anime, 2D, flat, vector art, artwork, watermark, signature, logo, (text:1.2)",Qwen_lp_vector,2
"A stethoscope diagonally crossing the frame, its chest piece overlapping a detailed anatomical heart illustration on a light wooden desk, commercial photography close-up, Canon EOS R5, 50mm f/1.8, shallow depth of field, sharp focus on stethoscope and heart, soft natural lighting from upper left, warm and inviting atmosphere, minimalist composition, professional medical theme, scientifically accurate heart with soft red and blue accents, light-toned wooden desk surface with subtle grain texture","worst quality, normal quality, low quality, low res, blurry, pixelated, jpeg artifacts, compression artifacts, noisy, grainy, bad anatomy, bad proportions, deformed, disfigured, extra limbs, missing limbs, mutated hands, poorly drawn hands, bad hands, extra fingers, missing fingers, illustration, drawing, painting, sketch, cartoon, anime, 2D, flat, vector art, artwork, watermark, signature, logo, (text:1.2)",Qwen_lp_vector,2
"Extreme close-up photograph of an adult hand gently touching raised braille text on a page, fingertips delicately exploring the tactile dots, (professional photography:1.2), Canon EOS R5, 50mm f/1.2 lens, f/2.8 aperture, shallow depth of field, hardcover book with off-white paper, soft directional natural lighting from a window, gentle shadows accentuating braille texture and hand form, warm earthy tones, neutral blurred background in muted grey, intimate and thoughtful mood, realistic skin texture with subtle pores, clean well-groomed nails, no jewelry, gender-neutral hand","worst quality, normal quality, low quality, low res, blurry, pixelated, jpeg artifacts, compression artifacts, noisy, grainy, bad anatomy, bad proportions, deformed, disfigured, extra limbs, missing limbs, mutated hands, poorly drawn hands, bad hands, extra fingers, missing fingers, illustration, drawing, painting, sketch, cartoon, anime, 2D, flat, vector art, artwork, watermark, signature, logo, (text:1.2)",Qwen_lp_vector,2
"An open braille book resting on a dark rustic wooden table, soft directional lighting from the left side highlighting the raised braille dots and page texture (1.2), professional commercial photography, Canon EOS R5, 50mm f/1.8, f/2.8, close-up shot angled slightly from above, shallow depth of field, warm and serene atmosphere, neutral blurred background, sharp focus, high detail, earthy tones, weathered wood grain visible","worst quality, normal quality, low quality, low res, blurry, pixelated, jpeg artifacts, compression artifacts, noisy, grainy, bad anatomy, bad proportions, deformed, disfigured, extra limbs, missing limbs, mutated hands, poorly drawn hands, bad hands, extra fingers, missing fingers, illustration, drawing, painting, sketch, cartoon, anime, 2D, flat, vector art, artwork, watermark, signature, logo, (text:1.2)",Qwen_lp_vector,2
"Professional close-up photograph of a braille accessibility sign with raised dots next to printed text, macro photography, textured surface, shallow depth of field, eye-level angle, shot on Canon EOS R5 with 50mm f/1.2 lens at f/2.8, photorealistic, commercial photography style, high contrast, minimalist design, brushed metal sign material, dark gray braille on light gray background, soft natural sunlight highlighting texture and casting subtle shadows, out-of-focus modern architectural background, serene and inclusive atmosphere, conveying dignity and accessibility, clean sans-serif font for printed text, ""Restroom""","worst quality, normal quality, low quality, low res, blurry, pixelated, jpeg artifacts, compression artifacts, noisy, grainy, bad anatomy, bad proportions, deformed, disfigured, extra limbs, missing limbs, mutated hands, poorly drawn hands, bad hands, extra fingers, missing fingers, illustration, drawing, painting, sketch, cartoon, anime, 2D, flat, vector art, artwork, watermark, signature, logo, (text:1.2)",Qwen_lp_vector,2
